l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
823.5897435897436,815.1282051282052,839.3040293040293,830.8424908424909,nan,nan
830.8424908424909,818.3516483516484,838.4981684981685,826.007326007326,nan,nan
835.2747252747253,817.1428571428571,838.0952380952381,823.992673992674,nan,nan
825.6043956043957,814.3223443223443,838.0952380952381,822.7838827838829,nan,nan
819.5604395604396,815.5311355311355,837.6923076923077,819.1575091575091,nan,nan
822.7838827838829,817.5457875457876,839.3040293040293,823.992673992674,nan,nan
829.2307692307693,817.5457875457876,840.9157509157509,830.4395604395604,nan,nan
828.4249084249085,817.948717948718,840.1098901098901,827.2161172161173,nan,nan
818.3516483516484,817.1428571428571,838.4981684981685,816.3369963369963,nan,nan
818.7545787545788,817.5457875457876,838.4981684981685,811.5018315018315,nan,nan
827.6190476190476,816.7399267399268,839.3040293040293,825.6043956043957,nan,nan
824.3956043956044,815.1282051282052,839.7069597069598,836.4835164835165,nan,nan
816.7399267399268,813.5164835164835,840.9157509157509,835.2747252747253,nan,nan
816.3369963369963,810.2930402930403,842.1245421245421,833.6630036630037,nan,nan
829.6336996336996,816.7399267399268,838.901098901099,832.8571428571429,nan,nan
828.8278388278388,817.948717948718,837.6923076923077,833.2600732600733,nan,nan
821.978021978022,813.1135531135532,841.3186813186813,829.6336996336996,nan,nan
821.1721611721612,815.5311355311355,840.1098901098901,837.6923076923077,nan,nan
820.3663003663004,815.1282051282052,836.0805860805862,842.5274725274726,nan,nan
827.6190476190476,812.7106227106227,839.7069597069598,838.901098901099,nan,nan
817.948717948718,816.7399267399268,838.901098901099,826.8131868131868,nan,nan
816.7399267399268,816.7399267399268,839.3040293040293,830.8424908424909,nan,nan
823.992673992674,811.0989010989011,844.1391941391942,836.4835164835165,nan,nan
819.5604395604396,811.5018315018315,843.7362637362637,832.8571428571429,nan,nan
812.3076923076924,812.7106227106227,844.5421245421246,836.4835164835165,nan,nan
816.3369963369963,816.7399267399268,841.3186813186813,833.6630036630037,nan,nan
818.3516483516484,817.948717948718,840.1098901098901,840.9157509157509,nan,nan
819.1575091575091,814.7252747252747,844.5421245421246,846.1538461538462,nan,nan
830.0366300366301,817.1428571428571,841.7216117216118,840.9157509157509,nan,nan
824.7985347985348,820.3663003663004,841.3186813186813,839.3040293040293,nan,nan
823.5897435897436,816.7399267399268,844.1391941391942,849.3772893772895,nan,nan
828.8278388278388,815.1282051282052,842.9304029304029,852.1978021978023,nan,nan
824.3956043956044,819.5604395604396,840.9157509157509,848.5714285714286,nan,nan
827.2161172161173,818.7545787545788,841.7216117216118,853.4065934065934,nan,nan
830.8424908424909,821.1721611721612,842.9304029304029,842.9304029304029,nan,nan
823.1868131868132,817.1428571428571,839.3040293040293,836.4835164835165,nan,nan
830.0366300366301,809.8901098901099,840.9157509157509,846.1538461538462,nan,nan
830.4395604395604,812.3076923076924,844.1391941391942,850.5860805860806,nan,nan
829.6336996336996,814.3223443223443,841.3186813186813,845.3479853479854,nan,nan
835.6776556776557,817.948717948718,842.1245421245421,838.901098901099,nan,nan
830.8424908424909,817.948717948718,845.7509157509157,844.1391941391942,nan,nan
817.1428571428571,813.919413919414,843.7362637362637,848.1684981684982,nan,nan
819.1575091575091,813.5164835164835,842.5274725274726,847.7655677655678,nan,nan
824.3956043956044,816.3369963369963,841.7216117216118,843.7362637362637,nan,nan
817.948717948718,813.919413919414,841.3186813186813,838.0952380952381,nan,nan
821.978021978022,816.7399267399268,843.3333333333334,850.5860805860806,nan,nan
823.992673992674,815.1282051282052,846.5567765567765,852.1978021978023,nan,nan
824.3956043956044,811.5018315018315,844.5421245421246,847.3626373626374,nan,nan
830.4395604395604,814.3223443223443,843.3333333333334,853.0036630036631,nan,nan
834.0659340659341,816.7399267399268,842.9304029304029,853.8095238095239,nan,nan
